Index,ARG,cARG_abundance,cARG_cDB_abundance,total_reads
MHS131,0.001275994,6.21E-05,5.85E-05,19117651
MHH538,0.000714634,8.17E-06,6.53E-06,11632533
MHS122,0.000443038,1.10E-05,9.08E-06,6168766
MBH048,0.000432646,6.40E-06,5.95E-06,15624791
MBH076,0.001055418,6.01E-06,4.02E-06,102957321
MHH626,0.00106035,1.57E-05,1.33E-05,18672137
MHH614,0.001211539,7.44E-05,7.08E-05,12002913
MHS135,0.009793444,0.000633612,0.000616832,16686878
MBH046,0.001516499,1.56E-05,1.20E-05,17903733
MHH358,0.0004132,1.43E-06,1.10E-06,9090019
MBS1125,0.001727228,0.00015977,0.000155246,16135678
MBH098,0.001767853,1.23E-05,7.85E-06,64228756
MHH571,0.001162903,2.00E-05,1.73E-05,21046469
MBS1130,0.004698989,0.000575546,0.000555535,4597372
MHH329,0.007180035,0.00060134,0.000572415,15591847
MHH266,0.000552277,2.98E-06,1.96E-06,13746713
MBH079,0.006299176,0.000201455,0.000178521,23240976
MHH265,0.000274632,2.83E-06,2.20E-06,44466779
MBH070,0.001261153,1.62E-05,1.23E-05,16853619
MHH391,0.000694481,3.63E-06,6.15E-07,16263943
MHH600,0.00046415,2.59E-05,2.43E-05,10500916
MHH386,0.00083278,2.96E-05,2.02E-05,13233994
MHS128,0.000677788,2.90E-06,1.33E-06,12071625
MBH043,0.000565753,1.66E-05,1.52E-05,25659590
MBH039,0.000208343,1.03E-06,7.61E-07,44666633
MHH335,0.000934581,5.49E-05,5.24E-05,13990224
MHH540,0.000492405,1.16E-06,6.05E-07,38017487
MHH621,0.001018555,6.09E-05,5.71E-05,18701009
MBH096,0.000790541,2.78E-05,2.51E-05,148729715
MBH059,0.000545328,2.37E-05,2.27E-05,7885159
MHH353,0.000959453,4.05E-06,1.10E-06,17279633
MHH368,0.000890255,3.62E-06,1.77E-06,12424528
MBH085,0.000549253,3.76E-06,8.95E-07,27943396
MHH596,0.001201813,3.72E-06,1.63E-06,22019226
MHH546,0.000538868,5.71E-06,4.71E-06,18898872
MHH521,0.001732802,0.000130044,0.000126769,11296155
